Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,10.1046/j.1469-1809.1998.6260531.x,Notes
MOR,MaMoroccanJR,Moroccan,15997-16399,Morocco,Northern Africa,Afro-Asiatic,Semitic,33.882,-6.791,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is near Rabat 
BMO,MaBerberJR,Berber,15997-16399,Morocco,Northern Africa,Afro-Asiatic,Berber,31.609,-6.854,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is approximate based on description in paper and ethnologue maps
SAH,EhSaharanJR,Saharan,15997-16399,Western Sahara,Northern Africa,Afro-Asiatic,Semitic,27.125,-13.162,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is Laayoune
MAU,MrMauritanianJR,Mauritanian,15997-16399,Mauritania,Western Africa,Afro-Asiatic,Semitic,18.092,-15.804,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is near Nouakchott
WOL,SnWolofJR,Wolof,15997-16399,Senegal,Western Africa,Niger-Congo,Atlantic,14.714,-16.254,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is approximate based on description in paper and ethnologue maps
SER,SnSererJR,Serer,15997-16399,Senegal,Western Africa,Niger-Congo,Atlantic,13.907,-16.262,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is approximate based on description in paper and ethnologue maps
SEN,SnSenegaleseJR,Senegalese,15997-16399,Senegal,Western Africa,Niger-Congo,Mixed,14.759,-17.2,Rando et al. 1998,10.1046/j.1469-1809.1998.6260531.x,Lat/Long is near Dakar
