Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
0,CgBatekeVM,Bateke ,16024-16383,Congo,Central Africa,Niger-Congo,Bantu,-0.89403,14.84338,Montano et al. 2013,10.1186/1471-2148-13-24,Lat/Long are approximate based on Ethnologue map
1,CgBetiVM,Beti,16024-16383,Congo,Central Africa,Niger-Congo,Bantu,2.03886,13.65685,Montano et al. 2013,10.1186/1471-2148-13-24,Lat/Long are approximate based on Ethnologue map
2,NgTivVM,Tiv,16024-16383,Nigeria,Western Africa,Niger-Congo,South-Volta,7.67183,8.76699,Montano et al. 2013,10.1186/1471-2148-13-24,Lat/Long are approximate based on Ethnologue map
3,NgIgalaVM,Igala,16024-16383,Nigeria,Western Africa,Niger-Congo,South-Volta,7.61518,6.85299,Montano et al. 2013,10.1186/1471-2148-13-24,Lat/Long are approximate based on Ethnologue map
4,NgIdomaVM,Idoma,16024-16383,Nigeria,Western Africa,Niger-Congo,South-Volta,7.20953,8.13527,Montano et al. 2013,10.1186/1471-2148-13-24,Lat/Long are approximate based on Ethnologue map
