Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
(EG|Ma),EgEgyptianMK,Egyptian,16024-16383,Egypt,Northern Africa,Afro-Asiatic,Semitic,27.177,31.184,Krings et al. 1999,10090902,Lat/Long approximate based on map in paper
DINKA,SsDinkaMK,Dinka,16024-16383,South Sudan,Eastern Africa,Nilo-Saharan,Eastern Sudanic,6.377,30.244,Krings et al. 1999,10090902,Lat/Long approximate based on map in paper
(NUB|Kerma|HU|Nui),SdNubianMK,Nubian,16024-16383,Sudan,Northern Africa,Nilo-Saharan,Eastern Sudanic,19.603,30.413,Krings et al. 1999,10090902,Lat/Long approximate based on map in paper
Nuba,SdNubaMK,Nuba,16024-16383,Sudan,Northern Africa,Niger-Congo,Kordofanian,11.987,30.752,Krings et al. 1999,10090902,Lat/Long approximate based on map in paper
Nuer,SsNuerMK,Nuer,16024-16383,South Sudan,Eastern Africa,Nilo-Saharan,Eastern Sudanic,8.152,31.674,Krings et al. 1999,10090902,Lat/Long approximate based on map in paper
SCH,SsShillukMK,Shilluk,16024-16383,South Sudan,Eastern Africa,Nilo-Saharan,Eastern Sudanic,9.52,31.692,Krings et al. 1999,10090902,Lat/Long approximate based on map in paper
