Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
SUD,SdSudanPS,Sudanese,16024-16400;1-400,Sudan,Northern Africa,Afro-Asiatic,Semitic,15.394,32.594,Soares et al. 2012,10.1093/molbev/msr245,Lat/Long is Khartoum; Sample is Sudanese emigrants in Dubai
ETH,EtEthiopiaPS,Ethiopian,16024-16400;1-400,Ethioipia,Eastern Africa,Afro-Asiatic,Mixed,8.99,39.181,Soares et al. 2012,10.1093/molbev/msr245,Lat/Long is near Addis; Sample is Ethiopian emigrants in Dubai
Som,SoSomaliPS,Somali,16024-16400,Somalia,Eastern Africa,Afro-Asiatic,Cushitic,9.685,47.728,Soares et al. 2012,10.1093/molbev/msr245,Lat/Long is in northern Somalia; Sample is Somali refugees in Yemen
