Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
0,MaBerberFP,Berber,16019-16390,Morocco,Northern Africa,Afro-Asiatic,Berber,34.95307,-3.99869,Pinto et al. 1996,10.1111/j.1469-1809.1996.tb01195.x,Lat/Long are approximate based on locations given in the paper
1,EsCanaryIslandsFP,Canary Islander,16019-16390,Spain,Europe,Non-African,Non-African,28.46153,-16.28529,Pinto et al. 1996,10.1111/j.1469-1809.1996.tb01195.x,Lat/Long are approximate based on locations given in the paper
2,GqFangFP,Fang,16019-16390,Equatorial Guinea,Central Africa,Niger-Congo,Bantu,1.57078,10.45923,Pinto et al. 1996,10.1111/j.1469-1809.1996.tb01195.x,Lat/Long are approximate based on locations given in the paper
