Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
Bisa,ZmBisaCF,Bisa,16024-16390;52-397,Zambia,Eastern Africa,Niger-Congo,Bantu,-11.829,31.45,de Filippo et al. 2010,10.1002/ajpa.21155,Lat/Long is approximate based on map and description in text
Kunda,ZmKundaCF,Kunda,16024-16390;52-397,Zambia,Eastern Africa,Niger-Congo,Bantu,-13.214,31.945,de Filippo et al. 2010,10.1002/ajpa.21155,Lat/Long is approximate based on map and description in text
