Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
DH,OmDhofarAA,Dhofar,15922-16551,Oman,Arabia,Afro-Asiatic,Semitic,17.072,54.127,Al-Abri et al. 2012,10.1002/ajpa.22131,Lat/Long approximate based on description in paper
AM,YeMahraAA,Mahra,16024-16420,Yemen,Arabia,Afro-Asiatic,Semitic,16.268,52.145,Al-Abri et al. 2012,10.1002/ajpa.22131,Lat/Long approximate based on description in paper
YB,YeBabAlMandebAA,Bab al-Mandab,15882-16569,Yemen,Arabia,Afro-Asiatic,Semitic,13.193,43.753,Al-Abri et al. 2012,10.1002/ajpa.22131,Lat/Long approximate based on description in paper
TK,KeTurkanaAA,Turkana,15882-16569;1-701;,Kenya,Eastern Africa,Nilo-Saharan,Eastern Sudanic,3.322,35.48,Al-Abri et al. 2012,10.1002/ajpa.22131,Lat/Long approximate based on description in paper
SO,SoSomaliAA,Somali,15882-16569;1-701;,Somalia,Eastern Africa,Afro-Asiatic,Cushitic,9.607,44.232,Al-Abri et al. 2012,10.1002/ajpa.22131,Lat/Long is northern Somalia; samples were collected from Somalis in Yemen
